SORT,N,MAXIMUM,TIME(seconds)
python_sort,1000,100000000,0
bubble_sort,1000,100000000,0.055026293
python_sort,10000,100000,0.001000166
bubble_sort,10000,100000,5.589540958
python_sort,10000,1000000,0
bubble_sort,10000,1000000,5.706734657
python_sort,10000,10000000,0.001008987
bubble_sort,10000,10000000,5.475175619
python_sort,10000,100000000,0.001000643
bubble_sort,10000,100000000,5.617801666
