SORT,N,MAXIMUM,TIME(seconds)
python_sort,1000,10000,0.0
merge_sort,1000,10000,0.00299072265625
python_sort,10000,10000,0.0010001659393310547
merge_sort,10000,10000,0.04300999641418457
python_sort,100000,100000,0.01600337028503418
merge_sort,100000,100000,0.5266201496124268
python_sort,1000000,1000000,0.3578224182128906
merge_sort,1000000,1000000,6.897287607192993
python_sort,1000000,10000000,0.2882506847381592
merge_sort,1000000,10000000,6.598974227905273
